COMPANY NAME,WEBSITE,STREET ADDRESS,CITY,STATE,ZIP,PHONE,EMAIL,INTERNSHIP MENTOR,INTERNSHIP TOPIC,MAJORS,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26
New York-Presbyterian Hospital,http://nyp.org/,710 W 168th St,New York City,NY,10032,212 342 1169,bcr9001@nyp.org,Bokang Rapoo,"Management; NYP/CUMC, Biomedical Engineering Department, Medical Technology Integration (MTI) Division","Computer Science, Automotive Engineering, Commercial Arts, Aerospace Engineering, Medical",,,,,,,,,,,,,,,,
Englewood Hospital & Medical Center,http://www.englewoodhospital.com/about_volunteers.asp,350 Engle St.,Englewood,NJ,7631,2018943066,vindra.marsoubian@ehmc.com,Vindra Marsoubian,Staff Assistant @ Englewood Hospital,"Computer Science, Medical",,,,,,,,,,,,,,,,
Arcari + Iovino Architects,http://www.aiarchs.com/,1 Katherine Street,Little Ferry,NJ,7643,2016410600,office@aiarchs.com,Anthony Iovino,Student Assistant,Research/Other,,,,,,,,,,,,,,,,
Excel Orthopedic Physical Therapy,http://www.exceltherapy.com/main.php,32 Piermont Road,Cresskill,NJ,7632,(201)567-0044,njovic@exceltherapy.com,Nicholas Jovic,Physical Therapy: Orthopedic Rehabilitation ,"Computer Science, Medical",,,,,,,,,,,,,,,,
Garbarini & Co. P.C. CPA's,http://garbarinicpa.com/,Divison St. & Rt. 17,Carlstadt,NJ,7072,201 933-5566,officemgr@garbarinicpa.com,Maria Incremona,Accounting and auditing of governmental entities,"Computer Science, Business & Finance, Law",,,,,,,,,,,,,,,,
The Valley Hospital,www.valleyhealth.com,223 N Van Dien Ave,Ridgewood,NJ,7450,(201) 447-8000,webinfo@valleyhealth.com,Katie Maraventano,Pathology,Medical,,,,,,,,,,,,,,,,
Bergen Community College,www.bergen.edu,400 Paramus Road,Paramus,NJ,7652,2014477100,bhemstreet@bergen.edu,Brian Hemstreet,Video Production and Editing,"Computer Science, Digital Media",,,,,,,,,,,,,,,,
Envision Video Services,envisionvideoservices.com,224 Boulevard,Hasbrouck Heights,NJ,7604,(201) 288-7228,pgallo@envisionvideoservices.com,Peter Gallo,Video Services,Digital Media,,,,,,,,,,,,,,,,
Congressman Bill Pascrell's Office,http://pascrell.house.gov/,200 Federal Plaza,Paterson,NJ,7505,973-523-5152,fahim.abedrabbo@mail.house.gov,Fahim Abedrabbo,Government,Law,,,,,,,,,,,,,,,,
The Center for Dentistry ,,60 Second Street ,Hackensack,NJ,7601,551-996-3519,cdipasquale@HackensackUMC.org,Catherine  Dipasquale,Dental Clinic,Medical,,,,,,,,,,,,,,,,
"New Jersey Judiciary, Bergen County Superior Court",http://www.judiciary.state.nj.us/bergen/criminal.htm,10 Main Street,Hackensack,NJ,7601,201-527-2486,Mliliana.deavila-silebi@judiciary.state.nj.us,Liliana DeAvila-Silebi,Judicial System,Law,,,,,,,,,,,,,,,,
Guillermo Couture ,http://guillermocouture.com/,237 W 37th St ,New York,NY,10018,2123666965,guillermocouture@yahoo.com,Guillermo  Molina,Fashion design/clientele ,"Fashion, Commercial Arts",,,,,,,,,,,,,,,,
The Maywood Veterinary Clinic ,http://www.maywoodvet.com/,125 East Passaic Street ,Maywood,NJ,7607,201-368-0607,maywoodvet@aol.com,Tracy  Vitale ,Veterinary Kennel Assistant,Research/Other,,,,,,,,,,,,,,,,
Hackensack University Medical Center,http://www.hackensackumc.org/our-services/pediatrics-joseph-m-sanzari-childrens-hospital/pediatric-rheumatology/rheumatology/,30 Prospect Avenue ,Hackensack,NJ,7601,(551) 996-5306,pedsrheum@hackensackumc.org,Christa Orr,Rheumatology,Medical,,,,,,,,,,,,,,,,
American Museum of Natural History ,http://www.amnh.org,Central Park West at 79th Street ,New York City ,NY, 10024-5192,212-769-5853,dkizirian@amnh.org,David  Kizirian,Herpetology ,"Medical, Research/Other",,,,,,,,,,,,,,,,
Hackensack University Medical Center,www.HackensackUMC.org,30 Prospect Avenue,Hackensack,NJ,7601,551-996-3171,cdipasquale@HackensackUMC.org,Catherine Dipasquale,Internship,Research/Other,,,,,,,,,,,,,,,,
American Museum of Natural History,http://www.amnh.org,Central Park West at 79th St.,New York,NY,10024,2127695853,marnold@amnh.org,Margaret Arnold,Department of Herpetology,"Commercial Arts, Medical, Research/Other",,,,,,,,,,,,,,,,
Westwood Regional Jr./Sr. High School,http://www.wwrsd.org/westwoodrhs,701 Ridgewood Rd,Westwood,NJ,7676,Cell: (973) 223-0649,jody.lazarski@wwrsd.org,Jody Lazarski,Digital Media Teacher,"Computer Science, Digital Media",,,,,,,,,,,,,,,,
Ellis Island Immigration Museum,http://www.nps.gov/elis/index.htm,"Ellis Island Immigration Museum, Ellis Island Receiving Office",Jersey City,NJ,7305,temp. cell 646 285 1691,judy_giuriceo@nps.gov,Judy  Giuriceo,Graphic Design and Digital Media Development. ,"Computer Science, Digital Media, Commercial Arts",,,,,,,,,,,,,,,,
Kips Gallery,kipsgallery.com,511 West 25th Street,New York City,NY,10001,6462845008,infokipsgallery@gmail.com,Ken Kim,Gallerist,Research/Other,,,,,,,,,,,,,,,,
Sterling Medical Devices,http://www.sterlingmedicaldevices.com/,17 Legion Place,Rochelle Park,NJ,7662,2012277569,dan@sterlingmedicaldevices.com,Dan Sterling,Electrical Engineering,"Automotive Engineering, Aerospace Engineering",,,,,,,,,,,,,,,,
The Toy Museum of New York,http://www.toymuseumny.org/,180 Smith Street,Brooklyn,NY,11201,718-243-0820,toymuseumny@gmail.com,Marlene Hochman,W,Research/Other,,,,,,,,,,,,,,,,
Teaneck Community Charter School,http://tccsnj.org,563 Chestnut Avenue,Teaneck,NJ,7666,Cell: (201) 887-4763,ddeubel@tccsnj.org,Susan Bloom,Science Teacher,Research/Other,,,,,,,,,,,,,,,,
IvyRehab,http://www.ivyrehab.com/,87 Summit Ave 2nd floor ,Hackensack,NJ,7601,(201)488-7905,mrambaldi@ivyrehab.com,Marc Rambaldi,Physical Therapy,Medical,,,,,,,,,,,,,,,,
Sterling Medical Devices,http://www.sterlingmedicaldevices.com/,17 Legion Place,Rochelle Park,NJ,7662,2012277569,dan@sterlingmedicaldevices.com,Dan Sterling,Electrical Engineering,"Automotive Engineering, Aerospace Engineering",,,,,,,,,,,,,,,,
NYU Child Study Centerâ€”New Jersey Campus,www.aboutourkids.org,411 Hackensack Avenue,Hackensack,NJ,7601,2014658111,kathia.boisrond@nyumc.org,Elizabeth  Roberts,Neuropsychology,"Medical, Research/Other",,,,,,,,,,,,,,,,
Lozito Medical Associates,,484 Lafayette Ave,Hawthorne ,NJ,7407,(973)423-4770,donnadaily89@yahoo.com,Deborah Lozito,General Practitioner Office,Computer Science,,,,,,,,,,,,,,,,
Hackensack Pediatrics,http://www.hackensackpediatrics.com,177 Summit Ave,Hackensack,Nj,7601,201-487-8222,kiddocmo@yahoo.com,Mohamed Tantawi,Pediatrics,Medical,,,,,,,,,,,,,,,,
Center for Developmental Genetics at NYU Biology - The Christiaen Lab,http://openwetware.org/wiki/Christiaen,100 Washington Square E,New York ,NY,10003,(323)-552-8424,biology@nyu.edu,Theadora Tolkin,Developmental Genetics,Medical,,,,,,,,,,,,,,,,
Clearcut Recording,,323 Lanza Avenue,Garfield,NJ,7026,(973)546-4405,clearcutstudio@aol.com,Max Caselnova,Digital Media (Audio Recording and Editing),"Computer Science, Digital Media",,,,,,,,,,,,,,,,
Borough of Little Ferry,littleferrynj.org,215-217 Liberty St,Little Ferry,NJ,7643,2016419234,m.capabianco@littleferrynj.org,Michael Capabianco,Intern at Borough Clerk,Research/Other,,,,,,,,,,,,,,,,
American Museum of Natural History,Amnh.org,Central Park West at 79th Street,New York,NY,10024,2127695853,Marnold@amnh.org,Margaret Arnold,Herpetology,"Medical, Research/Other",,,,,,,,,,,,,,,,
Metro PCS,,342 Main Street,Hackensack,NJ,7601,2018804813,metrohackensack@hotmail.com,Lorena Ortiz,Customer Service,Research/Other,,,,,,,,,,,,,,,,
HackensackUMC,www.hackensackumc.org,30 Prospect Avenue,Hackensack,NJ,7026,551-996-3171,cdipasquale@HackensackMC.org,Joseph Cerbone,Biomedical ,Medical,,,,,,,,,,,,,,,,
Hackensack Pediatrics,http://www.hackensackpediatrics.com/,177 Summit Avenue,Hackensack,NJ,7601,2014878222,na,Mona Tantawi,Pediatrics,Medical,,,,,,,,,,,,,,,,
Giulianna Marie Studios, gmstudios.co,2190 Hamburg Turnpike,Wayne,NJ,7470,973-835-4300,giuliannamariestudios@yahoo.com,Giulianna Pistolesi,Intern,Research/Other,,,,,,,,,,,,,,,,
" Machinery Control Systems, Inc.",machinerycontrol.com,50 N. Franklin Tpke Suite 201,Hohokus,NJ,7423,2016708344,info@machinerycontrol.com,David Anzano,Electrical Engineering,"Automotive Engineering, Aerospace Engineering",,,,,,,,,,,,,,,,
BlueSpire Strategic Marketing,http://www.bluespiremarketing.com/home,110 Summit Ave,Montvale,NJ,7645,800.727.6397,Serge.Suponitskiy@bluespiremarketing.com],Serge Suponitskiy,Marketing,"Digital Media, Business & Finance",,,,,,,,,,,,,,,,
Bergen County Sheriff's Department,-,160 S. River Rd,Hackensack,NJ,7662,2013363500,AMEhnert@bcsh.us,Aimee Mehnert,Law enforcement,Law,,,,,,,,,,,,,,,,
Charles C. Khym & Co,,120 Sylvan Avenue,Englewood Cliffs,NJ,7632,9172249051,kriskim@khymlaw.com,Kris Kim,Law,Law,,,,,,,,,,,,,,,,
"Bastarrika, Soto, Gonzalez & Somohano, LLP. ",http://www.bgsglaw.com,90 Main Street Suite 308,Hackensack,NJ,7601,(201) 489-1351,jgonzalez@bgsglaw.com,Jerard Gonzalez,Immigration Law,Law,,,,,,,,,,,,,,,,
Bergen County Sheriff's Office,http://www.bcsd.us/Default.aspx,10 Main St.,Hackensack,NJ,7601,2016462200,______________,Aimee Mehnert,Law Enforcement,Law,,,,,,,,,,,,,,,,
Clearcut Recording Studio,,373 Lanza Avenue,Garfield,NJ,7026,(973) 546-4405,clearcutstudio@aol.com,Max Caselnova,Senior Experience,Research/Other,,,,,,,,,,,,,,,,
Holy Name Medical Center,www.holyname.org/,718 Teaneck Road,Teaneck,NJ,7666,201-833-3217,chapman@mail.holyname.org,Karen G. Chapman,Courtesy Desk Volunteer,Research/Other,,,,,,,,,,,,,,,,
The Fig Leaf,http://www.thefigleafboutique.com/,98 West Pleasant Avenue,Maywood,NJ ,7607,2018805514,thefigleafboutique@me.com,Lynn Primavera,Fashion,Fashion,,,,,,,,,,,,,,,,
BMW of North America,,300 Chestnut Ridge Rd.,Woodcliff Lake,NJ,7677,2013074000,Linda.Ross@bmwnaext.com,Kevin Healy,Legal Department,"Commercial Arts, Law",,,,,,,,,,,,,,,,
Bible Church International,bcinj.org,791 State Route 10 East,Randolph ,NJ,7869,9736071404,biblechurchintl@msn.com,Roldan Manlapig,Accounting,Business & Finance,,,,,,,,,,,,,,,,
Pedimedica PA,http://pedimedica.com/index.html,870 Palisade Ave,Teaneck,NJ,7666,2016921661,info@pedimedica.com,Neil Kolsky,Pediatrics,Medical,,,,,,,,,,,,,,,,
The Heart Center of the Oranges,,310 Central Avenue,East Orange,NJ,7019,973-395-1550,Shansri2003@hotmail.com,Gitendra Rajiyah,senior experience,Research/Other,,,,,,,,,,,,,,,,
Hackensack University Medical Center,hackensackumc.org,30 Prospect Avenue,Hackensack,NJ,7601,(551) 996-2000,CDiPasquale@hackensackumc.org,Catherine DiPasquale,Courier,Research/Other,,,,,,,,,,,,,,,,
Tenafly Nature Center,www.tenaflynaturecenter.org,313 Hudson Ave,Tenafly ,NJ,7670,(201) 568-6093,ddavidson@tenaflynaturecenter.org,Debora Davidson,Animal Care/Office Work,Research/Other,,,,,,,,,,,,,,,,
Bill Blass,billblass.com,236 Fifth Ave,New York ,NY,10001,212-689-8957 ext. 1018,spatti@billblass.com,Scott  Patti,Fashion,Fashion,,,,,,,,,,,,,,,,
BMW of North America,http://www.bmwusa.com/,300 Chestnut Ridge Road,Woodcliff Lake,NJ,7677,201-307-4000,linda.ross@bmwna.com,Linda Ross,BMW Service Internship,Research/Other,,,,,,,,,,,,,,,,
Athletic Director's Assistant,,504 US Route 46,Teterboro,NJ,7026,201343600,wilmul@bergen.org,Will Muller,Assistant ,Research/Other,,,,,,,,,,,,,,,,
New Jersey Institute of Technology,http://www.njit.edu,323 Martin Luther King Boulevard,Newark,NJ,7102,(973) 596-3360,agerrard@mac.com,Andrew Gerrard,Solar Terrestrial Research,Research/Other,,,,,,,,,,,,,,,,
Marcia's Attic,http://www.marciasattic.com/,32 N. Dean Street,Englewood ,NJ,7631,201 894 5702,billy@marciasattic.com,Laura Musciotto,Fashion,Fashion,,,,,,,,,,,,,,,,
WFDU-FM radio Station,wfdu.fm,920 River Road,Teaneck,NJ,7666,201 692-2000,duff@fdu.edu,Barry Sheffield,Radio Broadcasting,Research/Other,,,,,,,,,,,,,,,,
Hackensack University Medical Center,www.HackensackUMC.org,30 Prospect Avenue ,Hackensack ,NJ,7601,551-997-3171,cdipasquale@HackensackUMC.org,Catherine Dipasquale,Internship,Research/Other,,,,,,,,,,,,,,,,
Englewood Hospital,http://www.englewoodhospital.com/,Engle Street,Englewood,NJ,7631,201-894-3066,vindra.marsoubian@emhc.com,Vindra Marsoubian,Englewood Hospital,"Computer Science, Medical",,,,,,,,,,,,,,,,
Charles C. Khym & Co,,120 Sylvan Ave,Englewood Cliffs,NJ ,7632,2016934600,kriskim@khymlaw.com,Kris Kim,Law,Law,,,,,,,,,,,,,,,,
Little Ferry Free Public Library,www.littleferry.bccls.org,239 Liberty Street,Little Ferry,NJ,7643,(201)641-3721,mariconda@bccls.org,Richard Mariconda,Library Assistant,Research/Other,,,,,,,,,,,,,,,,
Secret Charm/As U Wish,secretcharm.com,1407 Broadway,New York,NY,10018,2123544177,edith@secretcharm.com,Edith Alava Balbo,Fashion,Fashion,,,,,,,,,,,,,,,,
Alaris Health,alarishealth.com,96 parkway,rochelle park ,NJ,7644,2018450099,mwillis@alarishealth.com,Monique Willis,Nursing Home,Research/Other,,,,,,,,,,,,,,,,
thegrassynoel gallery and studio,thegrassynoel.com,396 Cedar lane,teaneck,nj,7666,201-281-8936,thegrassynoel@me.com,Noel Gussen,art career,Commercial Arts,,,,,,,,,,,,,,,,
St. Joesph's Regional Medical Center,www.stjosephshealth.org/,703 Main St,Paterson,NJ,7503,9737542000,guiderb@sjhmc.org,Bea Guider,Internship,Research/Other,,,,,,,,,,,,,,,,
Bergen County Department of Public Safety,www.bcpd.org,1 Bergen County Plaza,Hackensack,NJ,7601,(201) 336-7700,micah@bcpd.org,Micah Hassinger,Information Technology Assistance,"Computer Science, Medical",,,,,,,,,,,,,,,,
The Bernards Inn,www.bernardsinn.com,27 Mine Brook Road,Bernardsville,NJ,7924,908-766-0002,dining@bernardsinn.com,Corey Heyer,Pastry,Culinary,,,,,,,,,,,,,,,,
World of Wings,www.wowbutterfly.com,1775 Windsor Road,Teaneck,NJ,7666,2018334650,info@wowbutterfly.com,Paul Lee,Science,Research/Other,,,,,,,,,,,,,,,,
"Objecutive, Inc.",,"2125 Center Ave, Ste 411",Fort Lee,NJ,7024,(201) 242-1522,ckellas@objecutive.com,Costas Kellas,Business ,Business & Finance,,,,,,,,,,,,,,,,
Opal Financial Group,www.opalgroup.net,10 E. 38th Street,New York,NY,10016,2125329898,hramos@opalgroup.net,Henry Ramos,Finance ,Business & Finance,,,,,,,,,,,,,,,,
Hackensack University Medical Center,http://www.hackensackumc.org,20 Prospect Ave Suite 513,Hackensack,NJ ,7601,551.996.2738,CDiPasquale@hackensackumc.org,Catherine Dipasquale,Bioinformatics/dry biology,Medical,,,,,,,,,,,,,,,,
Bergen County Department of Public Safety,http://www.bcpd.org/,1 Bergen County Plaza,Hackensack,NJ,7601,(201) 366-7700,micah@bcpd.org,Micah Hassinger,Information Technology Assistence,"Computer Science, Medical",,,,,,,,,,,,,,,,
Auto Sumser Inc.,www.autosumser.com,7-06 Saddle River Road,Fair Lawn,NJ,7410,201-797-7680,sumserauto@aol.com,James Hamilton,basic automotive service and repair,"Computer Science, Automotive Engineering",,,,,,,,,,,,,,,,
Hackensack University Medical Center,http://www.hackensackumc.org/our-services/hospital-services/pathology/about-us/,30 Prospect Avenue,Hackensack,NJ,7601,(551)996-2000,KReilly@hackensackumc.org,Kathleen Reilly,Pathology,Medical,,,,,,,,,,,,,,,,
Bergen Early Learning Alliance,http://bcss.bergen.org/index.php/component/content/article?id=159&Itemid=693,284 Hackensack Ave,Hackensack,NJ,7601,2013436000,elisco@bergen.org,Elizabeth Scolpino,Child Care,Research/Other,,,,,,,,,,,,,,,,
Fuchs Audio Technology,http://www.fuchsaudiotechnology.com,407 Getty Avenue,Clifton,NJ,7011,973-772-4420,annette@fuchsaudio.com,Annette Fuchs,Electronics,Computer Science,,,,,,,,,,,,,,,,
Fuchs Audio Technology,http://www.fuchsaudiotechnology.com,407 Getty Ave,Clifton,NJ,7011,973-772-4420,annette@fuchsaudio.com,Annette Fuchs,Electronics,Computer Science,,,,,,,,,,,,,,,,
Valley Hospital,valleyhealth.com,223 N. Van Dien Ave.,Ridgewood,NJ,7450,2015275059,webinfo@valleyhealth.com,Katie Maraventano,Shadow a Doctor,Research/Other,,,,,,,,,,,,,,,,
Congressman Pascrell's office,http://pascrell.house.gov/index.shtml,"200 Federal Plaza,suite 500 ",Paterson,NJ,7505,(973) 523-5152,fahim.abedrabbo@mail.house.gov,Fahim Abedrabbo,Government ,Law,,,,,,,,,,,,,,,,
Kessler Rehabilitation Center,,125 Washington Avenue,Dumont,NJ,7628,2013856272,vbenitez@selectmedicalcorp.com,Victoria Benitez,Physical Therapy ,Medical,,,,,,,,,,,,,,,,
KORTV Inc. ,,47 Langstaff Ave,Edison,NJ,8820,7323338080,hkkim@wkntv.com,Hyun Ki Kim,Internet Protocol TV,Computer Science,,,,,,,,,,,,,,,,
"Steinbach and Associates,PC",,1 University Plaza,Hackensack,NJ,7601,201-525-1990,aschwartz@steinbachesq.com,Alyssa Schwartz,"Steinbach and Associates,PC Internship",Research/Other,,,,,,,,,,,,,,,,
New Jersey Institute of Technology,www.njit.edu,154 Summit Street,Newark,NJ,7102,973-596-3000,wzhang81@njit.edu,Wen Zhang,Research,Research/Other,,,,,,,,,,,,,,,,
Hackensack Professional Center,,211 Essex Street,Hackensack,NJ,7601,201-343-8757,mdsarikasharma@gmail.com,Sarika Sharma,Intern under Cardiologist,Research/Other,,,,,,,,,,,,,,,,
Bergen County Academies,bcts.bergen.org,200 Hackensack Ave,Hackensack,NJ,7601,201-343-6000,alycal@bergen.org,Alyssa Calabro,Nanotechnology Lab,"Computer Science, Medical",,,,,,,,,,,,,,,,
Bergen County Academies,bcts.bergen.org,200 Hackensack Ave,Hackensack,NJ,7601,201-343-6000,alycal@bergen.org,Alyssa Calabro,Nanotechnology Lab,"Computer Science, Medical",,,,,,,,,,,,,,,,
Kasanova ,,151 Route 17 South,Rochelle Park,NJ,7662,201-368-8400,kathleen@kasanovanj.com,Kathleen Campbell,Financial Department,"Business & Finance, Commercial Arts",,,,,,,,,,,,,,,,
"NJ Courts, Morris/Sussex Vicinage",http://www.judiciary.state.nj.us/morris/,Washington & Court Streets,Morristown,NJ,7960,(973) 656-4030,bev.tedesco@judiciary.state.nj.us,Beverly Tedesco,Senior Experience,Research/Other,,,,,,,,,,,,,,,,
Les Tout Petits,http://www.lestoutpetits.net,600 Grand Ave,Ridgefield,NJ,7657,201-941-8675,lestoutpetits@aol.com,Lois Letzt,Internship,Research/Other,,,,,,,,,,,,,,,,
Femmebot Clothing ,femmebot.com,203 E Ridgewood Avenue ,Ridgewood,NJ,7450,2018573720,bridgettep@femmebot.com,Bridgette Perez,Femmebot,Research/Other,,,,,,,,,,,,,,,,
EVCO Mechanical Corp.,www.evcomechanical.com,44 Standish Ave,West Orange,NJ,7052,(973)324-7000,inquiry@evcomechanical.com,Stephen  Samouhos,"Mechanical Engineering, Building Systems","Automotive Engineering, Aerospace Engineering",,,,,,,,,,,,,,,,
Bergen County Academies,bergen.org,200 Hackensack Avenue,Hackensack,NJ,7601,201-343-6000 ,vicper@bergen.org,Victoria Pero,Costume and Set Design,Commercial Arts,,,,,,,,,,,,,,,,
Boswell Engineering,http://www.boswellengineering.com/,330 Phillips Ave,South Hackensack ,NJ,7606,2016410770,bmirandi@boswellengineering.com,Bernard  Mirandi,Engineering ,"Automotive Engineering, Aerospace Engineering",,,,,,,,,,,,,,,,
Cadett Marketing,www.cadettmarketing.ocm,183 Market Street,Saddle Brook,NJ,7663,201-880-1926,info@cadettmarketing.com,Carol Metzger,Internship at Cadett Marketing ,"Digital Media, Business & Finance",,,,,,,,,,,,,,,,
The Valley Hospital,http://www.valleyhealth.com/index.aspx,223 N Van Dien Avenue,Ridgewood,NJ ,7450,201-447-8000,webinfo@valleyhealth.com,Katie Maraventano,MEDICAL,Medical,,,,,,,,,,,,,,,,
South Bergen Jointure Commission,njsbjc.org,404 Maywood Avenue,Maywood,NJ,7608,201-845-8818,hehle@njsbjc.org,Ranya Dabbagh,Pre-School Special Education,Research/Other,,,,,,,,,,,,,,,,
"INSYS Group, Inc.",www.insys.com,"395 West Passaic Street, Suite 400",Rochelle Park,NJ,7662,201-621-4797 ext. 204,www.insys.com,Catherine Rivera,Assistant of the Human Resources and Finance Departments,"Business & Finance, Commercial Arts",,,,,,,,,,,,,,,,
Alldayeveryday,alldayeveryday.com,604 East 11th,New York,NY,10009,212 625 8844,10009,Keith Poplawski,Web Development/Design and Networking,"Computer Science, Commercial Arts",,,,,,,,,,,,,,,,
Saeilo Motors Complete Auto Service Center,,480 Old River Rd,Edgewater,NJ,7020,201-840-0010,Saeilo@verizon.net,Ryutaro Takahashi,Automotive Service Center,Automotive Engineering,,,,,,,,,,,,,,,,
Bergen Early Learning Alliance,,284 Hackensack Ave ,Hackensack,NJ,7601,2013436000,elisco@bergen.org,Elizabeth Scolpino,Childcare,Research/Other,,,,,,,,,,,,,,,,
